id,codigo_producto,referencia,descripcion,subtipo_anterior,subtipo_nuevo
21,025010/26R1,SKAN 8W 3K C8 DIM WH,LUM DECORATIVA LED  INTERIOR SOBREPONER EN PISO  8W 0LM ÓPTICA SEMI DIRECTA 3000K 80 CRI 100-240 VAC DIM BLANCO IP20,DECORATIVO,DECORATIVA
22,025011/26R1,SKAN 8W 3K C8 DIM BL,LUM DECORATIVA LED  INTERIOR SOBREPONER EN PISO  8W 0LM ÓPTICA SEMI DIRECTA 3000K 80 CRI 100-240 VAC DIM NEGRO IP20,DECORATIVO,DECORATIVA
23,025037/26R1,SKAN 8W 3K C8 DIM RD,LUM DECORATIVA LED  INTERIOR SOBREPONER EN PISO  8W 0LM ÓPTICA SEMI DIRECTA 3000K 80 CRI 100-240 VAC DIM ROJO TERRA IP20,DECORATIVO,DECORATIVA
24,026010/15R1,SKAN 27W 27K C80 WH,"LUM DECORATIVA LED INTERIOR SOBREPONER EN PISO 3X9,2W 2464LM ÓPTICA INDIRECTA 2700K 80 CRI 110-240 VAC BLANCO IP20",DECORATIVO,DECORATIVA
25,026011/15R1,SKAN 27W 27K C80 BL,"LUM DECORATIVA LED INTERIOR SOBREPONER EN PISO 3X9,2W 2464LM ÓPTICA INDIRECTA 2700K 80 CRI 110-240 VAC NEGRO  IP20",DECORATIVO,DECORATIVA
98,03.0064.14ANT,THE BLACK LINE NT 12SPOTS 39W 3K C9 BL,LUM SYSTEMS LED  INTERIOR 100x14.6 DE EMPOTRAR EN CIELO 39W 2230LM OPTICA SIMETRICA 44º 3000K 90CRI NO DIM NEGRO IP20,SYSTEMS,SYSTEM
99,03.0080.14.11,MULTISPOT 1L LED 26W 3K C9 BL,MULTISPOT 26W 1L BLCK Z-16LEDFORT.ST MD 3K C90 125,DOWNLIGHTS,DOWNLIGHT
100,03.0081.14.11,MULTISPOT 1L LED 26W 3K C9 BL,MULTISPOT 26W 1L BLCK Z-16LEDFORT.ST MD 3K C90 125,DOWNLIGHTS,DOWNLIGHT
101,03.0113.14.11,MULTISPOT 2L LED 26W 3K C9 BL,MULTISPOT LED 2L BLCK Z-16FORT.ST SP 3K C90 26W 12,DOWNLIGHTS,DOWNLIGHT
102,03.0116.14.11,MULTISPOT LED 3L BL,MULTISPOT 26W 3L BLK Z16 LEDFT.ST SP-MD-SP3KC90 1,DOWNLIGHTS,DOWNLIGHT
